n,median_time_ms
1750,2.9515
1751,2.92625
1752,2.92125
1753,2.91055
1754,2.90495
1755,2.91985
1756,2.9197
1757,2.91525
1758,2.9205
1759,2.93965
1760,2.91535
1761,2.92225
1762,2.94355
1763,2.9309
1764,2.94425
1765,2.95955
1766,2.95215
1767,3.1955
1768,3.0724
1769,3.0146
1770,3.06225
1771,3.0939
1772,2.9678
1773,2.98355
1774,3.0232
1775,3.001
1776,2.9846
1777,2.9847
1778,2.9958
1779,3.06175
1780,3.0602
1781,3.07485
1782,3.0956
1783,4.3058
1784,5.2736
1785,3.6427
1786,3.3328
1787,3.23
1788,4.6428
1789,3.641
1790,3.2334
1791,3.2321
1792,3.10215
1793,3.0776
1794,3.2846
1795,3.24545
1796,3.22305
1797,3.2271
1798,3.75825
1799,4.88105
1800,3.97135
1801,4.8759
1802,3.24565
1803,3.22465
1804,3.2396
1805,3.15595
1806,3.66905
1807,3.2302
1808,4.5807
1809,3.23165
1810,3.20185
1811,3.41175
1812,3.18885
1813,5.30435
1814,5.25215
1815,4.41145
1816,5.15175
1817,4.2712
1818,4.1402
1819,4.31165
1820,4.9352
1821,5.33055
1822,3.47335
1823,3.6224
1824,3.6135
1825,3.61425
1826,3.55295
1827,3.4436
1828,3.5439
1829,3.5973
1830,3.6363
1831,3.6219
1832,3.74425
1833,3.5987
1834,3.66755
1835,3.60955
1836,3.7294
1837,3.5836
1838,3.62245
1839,3.6938
1840,3.6967
1841,3.5739
1842,3.69065
1843,3.63165
1844,3.7158
1845,4.2918
1846,3.71975
1847,3.65955
1848,3.9256
1849,3.80585
1850,3.73545
1851,3.69775
1852,3.6256
1853,3.7622
1854,3.746
1855,3.69975
1856,3.66255
1857,3.66135
1858,3.6711
1859,3.68
1860,3.71955
1861,3.6844
1862,3.6729
1863,3.74315
1864,3.74945
1865,3.85765
1866,3.837
1867,3.6398
1868,3.621
1869,3.75195
1870,3.64665
1871,3.74085
1872,3.7744
1873,3.9716
1874,3.82905
1875,3.76465
1876,3.7613
1877,3.76845
1878,3.7957
1879,3.82575
1880,5.19215
1881,4.86505
1882,3.83405
1883,3.79765
1884,3.83085
